camera,r00,r01,r02,r10,r11,r12,r20,r21,r22,t0,t1,t2
DSC05371,-0.9926555675908895,-0.031057303722085403,0.11692034902583648,-0.0699467540621791,0.9359015002973498,-0.345247495772721,-0.0987034737330674,-0.3508900477737777,-0.9312001925721137,-1.0001007818737053,1.4026798123671775,0.3124750929807528
DSC05372,-0.9915756489620398,-0.042047788088779674,0.1225141457234678,-0.08942679767817022,0.9064800233027714,-0.4126703468993556,-0.09370475037338091,-0.42014991475644486,-0.9026037164158005,-1.0256277750679945,1.0501048125838113,0.02119851610120646
DSC05373,-0.9945411653722358,0.00017842628801390678,0.10434480602356225,0.011227262628874095,0.9943760613824577,0.10531000485886051,-0.1037391871661687,0.10590664149887276,-0.9889499301443588,-1.0194177600264756,0.2672431877970367,-0.05181996794494761
DSC05374,-0.9941078722146324,-0.008226929478561257,0.10808263520219609,-0.008075981911753101,0.9999657064406544,0.0018342461132575547,-0.1080940188773517,0.0009505650939004577,-0.9941402212509789,-1.010369656671987,0.12385089153648267,0.023002487684392937
DSC05375,-0.994157455985132,-0.008737116372673295,0.10758538704982618,-0.008312052760157352,0.9999557794287286,0.004398745957242879,-0.10761906191787259,0.0034787906769970806,-0.9941861171467559,-1.0051596973179848,-0.04496724811146962,0.04008197795670109
DSC05376,-0.9945912444745015,0.004348048472097806,0.10377548308317772,0.01839513707986721,0.9907032681292518,0.13479114752027574,-0.10222463179916821,0.13597105939318158,-0.9854247793013025,-1.0133015391158915,-0.3104338197861225,-0.08197638986582262
DSC05377,-0.9944984852829879,0.014121499934586761,0.10379473016218282,0.039216973138024455,0.9690024811004478,0.24391847129536506,-0.09713285637586463,0.24664706538042147,-0.9642253021734558,-1.0208540218088404,-0.544068865091412,-0.2320453599985251
DSC05378,-0.9940937699949974,0.01940207499620082,0.10677610192817147,0.05550909407241036,0.9363500303962304,0.34665164221771516,-0.09325404512617007,0.3505312825737815,-0.9318967233576831,-1.0199597307007886,-0.851739559485845,-0.35295333666178536
DSC05379,-0.9934159642492424,0.030026828142042404,0.11055818181607568,0.08082154560901497,0.8676441880640196,0.49057256413714995,-0.08119482582109597,0.49627809997062794,-0.8643584023710451,-1.0277505603055799,-1.251922562903667,-0.5089984157150798
DSC05380,-0.9927674068504715,0.037260876545875087,0.11412494457577389,0.09295410507691926,0.8401724378144968,0.5342937479385236,-0.07597637951850204,0.5410378007273416,-0.8375593638300404,-1.0353385698624902,-1.3793755793560194,-0.6047129197161367
